,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
146,KEC International,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,Engineering & Construction ,Mumbai 
147,Marpu Foundation,4.9,"Company Culture, Work Satisfaction, Skill Development / Learning",NaN,Non-Profit ,Hyderabad/Secunderabad 
148,Nagarjuna Construction Company,4.2,"Job Security, Salary & Benefits, Company Culture",NaN,Engineering & Construction ,Hyderabad/Secunderabad 
149,Piramal Capital Housing Finance,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,NBFC ,Mumbai 
150,Muthoot Fincorp,4.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,NBFC ,Trivandrum/Thiruvananthapuram 
151,Reliance Communications,4.0,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Telecom ,Navi Mumbai 
152,Aditya Birla Fashion and Retail,4.2,"Job Security, Skill Development / Learning, Company Culture",NaN,Fashion & Textile ,Mumbai 
153,ITC Infotech,3.9,"Work Life Balance, Job Security",Promotions / Appraisal,IT Services & Consulting ,Bangalore/Bengaluru 
154,CARS24,3.6,NaN,"Job Security, Promotions / Appraisal, Company Culture",Internet ,Gurgaon 
155,Varun Beverages,4.1,"Job Security, Salary & Benefits",NaN,Beverage ,Gurgaon/Gurugram 
156,Randstad,3.8,NaN,"Promotions / Appraisal, Job Security",Recruitment ,Chennai 
157,Tata Communications,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Telecom ,Mumbai 
158,L&T Finance,4.0,"Salary & Benefits, Skill Development / Learning",NaN,NBFC ,Mumbai 
159,John Deere,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Industrial Machinery ,Moline 
160,EY Global Delivery Services ( EY GDS),3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Accounting & Auditing ,Bangalore/Bengaluru 
161,Intas Pharmaceuticals,4.1,"Job Security, Salary & Benefits, Work Life Balance",NaN,Pharma ,Ahmedabad 
162,Royal Enfield,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Automobile ,Gurgaon/Gurugram 
